../Expiration/Expiration_10000_Independent_cluster_min=10_max=10000_alpha=-5e-06 copy_original_Dijkstra.csv
cluster_id,expiration,expiration_random
9,14786,14683
15,1238,1907
17,276,873
41,117,703
38,24,501
46,31,370
23,74,536
14,108,794
10,17812,27328
11,631,1756
35,52,553
0,30775,53222
1,44122,47787
34,593,641
22,423,793
24,167,593
27,2051,2394
45,519,630
18,1052,1216
31,115,610
20,124,841
44,116,146
42,394,501
4,1144,4659
13,3,533
37,216,617
47,79,234
5,76,264
36,31,10
19,81,38
39,284,932
12,25,1531
6,1,983
25,807,1249
3,0,1182
8,208,1831
52,573,538
51,87,168
2,0,412
21,439,695
40,242,469
54,157,239
26,754,1027
32,362,487
50,184,254
30,294,607
56,85,101
49,273,262
55,235,444
33,96,365
29,9,528
28,319,1004
53,174,195
43,169,466
48,137,160
16,385,1327
7,80,882
