../Expiration/Expiration_10000_Independent_cluster_min=10_max=10000_alpha=-5e-06 copy_original_Dijkstra.csv
road_id,road_pagerank,road_length,road_clusterId,expiration,random_expiration,pickup
0,1.32358505,86.00049778306033,9,26,11,0
1,0.82888867,85.57742467872983,9,22,16,0
2,0.31564047,137.66025112763595,9,6,9,0
3,0.00000000,86.46451357454191,9,0,0,0
4,0.00000000,84.59366844269023,9,0,0,0
5,0.03372676,137.66025112763595,9,1,1,0
6,0.24110848,136.97350064364855,9,6,6,0
7,1.19879578,271.27191048935975,15,39,34,0
8,1.57600673,86.58763768792781,15,61,54,0
9,0.37730931,136.97350064364855,15,8,9,0
10,0.01190582,271.27191048935975,9,0,0,0
11,0.27201700,85.91819366797723,15,2,2,0
12,0.38648076,200.7885413534675,9,6,8,0
13,2.13551017,95.6380255916628,17,3,29,0
14,0.00000000,20.314396534842068,9,0,0,0
15,0.21351760,54.915313355389046,15,3,3,0
16,0.13505676,143.732675170449,9,2,11,0
17,0.00091008,87.21640995941863,9,0,0,0
18,0.05388565,54.915313355389046,9,0,1,0
19,0.00469296,143.732675170449,9,0,0,0
20,0.00150201,85.34143934274167,9,0,0,0
21,0.68973618,86.25180153533105,41,5,56,0
22,0.10364108,273.74274537731964,9,13,18,0
23,1.04168306,80.66377764286652,38,0,22,0
24,0.41725157,86.22624210961793,46,4,33,0
25,0.00809448,17.11306626277089,9,0,4,0
26,0.14544853,105.66107608286494,9,5,11,0
27,0.00000000,86.38145556540783,9,0,0,0
28,1.21267256,79.66628237385355,23,3,43,0
29,0.06650073,128.6446925414305,9,5,5,0
30,0.02268518,81.14450796171512,9,0,0,0
31,0.00073164,87.79689049831714,9,0,0,0
32,0.00000000,250.45113681191862,9,0,0,0
33,0.00793888,42.453930351898244,9,1,1,0
34,0.15594218,38.567727979055896,9,1,0,0
35,0.00000000,20.709146149921462,9,0,0,0
36,0.00000000,240.1990665323766,9,0,0,0
37,0.00000000,201.58222723936927,9,0,0,0
38,0.00000000,127.6761899804522,9,0,0,0
39,0.00000000,216.17299867374447,9,0,0,0
40,0.00000000,90.66215310834795,9,0,0,0
41,1.33459991,80.64269265136221,14,11,61,0
42,0.08941943,80.0662388127658,10,1,3,0
