roadId,toto,fromfrom,downstream,upstream
0,0 3111 ,0 1 2 ,2327 2328 2329 ,5 2327 3109 
1,1 3106 ,0 1 2 ,3107 3108 3109 ,5 2327 3109 
2,2 9 2330 4059 ,0 1 2 ,3 4 5 6 ,5 2327 3109 
3,3 2328 6296 ,3 4 5 6 ,2330 2331 2332 ,2 9 2330 4059 
4,4 3108 6294 ,3 4 5 6 ,4059 4060 4061 ,2 9 2330 4059 
5,5 2327 3109 ,3 4 5 6 ,0 1 2 ,2 9 2330 4059 
6,6 10 2334 ,3 4 5 6 ,7 8 9 ,2 9 2330 4059 
7,7 4064 8349 ,7 8 9 ,10 11 12 ,6 10 2334 
8,8 4061 ,7 8 9 ,4062 4063 ,6 10 2334 
9,2 9 2330 4059 ,7 8 9 ,3 4 5 6 ,6 10 2334 
10,6 10 2334 ,10 11 12 ,7 8 9 ,7 4064 8349 
11,11 2333 ,10 11 12 ,2335 2336 ,7 4064 8349 
12,12 14 8326 ,10 11 12 ,8347 8348 8349 ,7 4064 8349 
13,13 8327 ,13 14 15 ,960 961 ,18 962 8348 
14,12 14 8326 ,13 14 15 ,8347 8348 8349 ,18 962 8348 
15,15 19 1918 1921 ,13 14 15 ,16 17 18 ,18 962 8348 
16,16 4066 ,16 17 18 ,19 20 ,15 19 1918 1921 
17,17 960 1917 ,16 17 18 ,1918 1919 1920 ,15 19 1918 1921 
18,18 962 8348 ,16 17 18 ,13 14 15 ,15 19 1918 1921 
19,15 19 1918 1921 ,19 20 ,16 17 18 ,16 4066 
20,20 1922 ,19 20 ,2337 ,16 4066 
21,21 5054 ,21 ,5411 5412 ,22 5387 
22,22 5387 ,22 23 ,21 ,5053 8319 
23,23 ,22 23 ,5056 5057 5058 ,5053 8319 
24,24 1848 8306 ,24 25 ,911 912 913 ,26 914 
25,25 8307 ,24 25 ,8318 8319 ,26 914 
26,26 914 ,26 27 28 ,24 25 ,29 1846 1850 
27,27 136 697 911 ,26 27 28 ,1846 1847 1848 1849 ,29 1846 1850 
28,28 915 1854 ,26 27 28 ,1850 1851 1852 ,29 1846 1850 
29,29 1846 1850 ,29 30 31 ,26 27 28 ,137 4949 
30,30 1852 2687 ,29 30 31 ,4948 4949 ,137 4949 
31,31 700 1849 8045 ,29 30 31 ,135 136 137 138 ,137 4949 
32,32 511 ,32 33 34 35 ,512 513 ,8536 8539 8543 
33,33 1131 ,32 33 34 35 ,8536 8537 8538 ,8536 8539 8543 
34,34 1133 8540 ,32 33 34 35 ,8543 8544 ,8536 8539 8543 
35,35 8538 ,32 33 34 35 ,8545 8546 ,8536 8539 8543 
36,36 5447 ,36 37 ,38 ,5446 8545 
37,37 5448 ,36 37 ,5446 5447 ,5446 8545 
38,38 ,38 ,39 40 ,36 5447 
39,39 8555 ,39 40 ,9338 ,38 
40,40 1933 5450 ,39 40 ,6447 6448 6449 ,38 
41,41 3078 ,41 42 ,240 241 242 ,44 240 3076 
42,42 2680 ,41 42 ,3075 3076 3077 ,44 240 3076 
43,43 3075 ,43 44 ,3877 3878 ,45 5414 
44,44 240 3076 ,43 44 ,41 42 ,45 5414 
45,45 5414 ,45 46 ,43 44 ,3879 8353 
46,46 5413 ,45 46 ,5059 5060 ,3879 8353 
47,47 8322 ,47 48 ,918 919 ,49 920 
48,48 8323 ,47 48 ,8352 8353 ,49 920 
49,49 920 ,49 50 51 ,47 48 ,52 1856 1859 
50,50 919 1855 ,49 50 51 ,1856 1857 1858 ,52 1856 1859 
51,51 921 1863 ,49 50 51 ,1859 1860 1861 ,52 1856 1859 
52,52 1856 1859 ,52 53 54 ,49 50 51 ,3881 4947 
53,53 1858 2686 ,52 53 54 ,3881 3882 ,3881 4947 
54,54 1861 4945 ,52 53 54 ,4946 4947 ,3881 4947 
55,55 1784 6471 7074 ,55 56 ,1788 1789 1790 1791 ,1788 1792 6111 
56,56 6109 6475 7544 ,55 56 ,1792 1793 1794 1795 ,1788 1792 6111 
57,57 1402 5113 6962 ,57 58 59 ,5107 5108 5109 5110 ,4340 5107 7745 
58,58 4338 9020 ,57 58 59 ,4340 4341 4342 ,4340 5107 7745 
59,59 61 8454 ,57 58 59 ,7743 7744 7745 ,4340 5107 7745 
60,60 8419 8457 ,60 61 62 ,8448 8449 8450 ,65 980 7743 
61,59 61 8454 ,60 61 62 ,7743 7744 7745 ,65 980 7743 
62,62 5379 8420 ,60 61 62 ,63 64 65 ,65 980 7743 
63,63 981 4911 ,63 64 65 ,5377 5378 5379 ,62 5379 8420 
64,64 7701 8415 8449 ,63 64 65 ,8417 8418 8419 8420 ,62 5379 8420 
65,65 980 7743 ,63 64 65 ,60 61 62 ,62 5379 8420 
66,66 4097 ,66 67 ,4095 4096 ,1768 6477 
