roadId,from_node,to_node,from_node_lat,from_node_lon,to_node_lat,to_node_lon,length
0,42421728,42432736,40.7980486,-73.9600434,40.798725,-73.9595485,86.00049778306033
1,42421728,42435337,40.7980486,-73.9600434,40.7973755,-73.9605358,85.57742467872983
2,42421728,42421731,40.7980486,-73.9600434,40.798645,-73.9614743,137.66025112763595
3,42421731,42432737,40.798645,-73.9614743,40.7993247,-73.9609759,86.46451357454191
4,42421731,42437916,40.798645,-73.9614743,40.79798,-73.9619619,84.59366844269023
5,42421731,42421728,40.798645,-73.9614743,40.7980486,-73.9600434,137.66025112763595
6,42421731,42421737,40.798645,-73.9614743,40.7992545,-73.962886,136.97350064364855
7,42421737,42421741,40.7992545,-73.962886,40.8004313,-73.9657046,271.27191048935975
8,42421737,42437917,40.7992545,-73.962886,40.7985719,-73.9633805,86.58763768792781
9,42421737,42421731,40.7992545,-73.962886,40.798645,-73.9614743,136.97350064364855
10,42421741,42421737,40.8004313,-73.9657046,40.7992545,-73.962886,271.27191048935975
11,42421741,42432756,40.8004313,-73.9657046,40.8011074,-73.965211,85.91819366797723
12,42421741,1061531654,40.8004313,-73.9657046,40.8013053,-73.9677887,200.7885413534675
13,42421745,42428751,40.8014007,-73.9679942,40.8005442,-73.9680997,95.6380255916628
14,42421745,1061531654,40.8014007,-73.9679942,40.8013053,-73.9677887,20.314396534842068
15,42421745,42421749,40.8014007,-73.9679942,40.8016434,-73.9685615,54.915313355389046
16,42421749,42421751,40.8016434,-73.9685615,40.8022682,-73.970054,143.732675170449
17,42421749,42431118,40.8016434,-73.9685615,40.8009593,-73.9690678,87.21640995941863
18,42421749,42421745,40.8016434,-73.9685615,40.8014007,-73.9679942,54.915313355389046
19,42421751,42421749,40.8022682,-73.970054,40.8016434,-73.9685615,143.732675170449
20,42421751,42432764,40.8022682,-73.970054,40.802938,-73.96956,85.34143934274167
21,42421769,42443347,40.7826312,-73.9749879,40.7819523,-73.975483,86.25180153533105
22,42421772,42421769,40.783828,-73.9778254,40.7826312,-73.9749879,273.74274537731964
23,42421772,42442469,40.783828,-73.9778254,40.7844628,-73.9773621,80.66377764286652
24,42421775,42428653,40.7845691,-73.9795827,40.783893,-73.9800838,86.22624210961793
25,42421775,1061531525,40.7845691,-73.9795827,40.7844943,-73.9794053,17.11306626277089
26,42421776,42421775,40.7850311,-73.9806779,40.7845691,-73.9795827,105.66107608286494
27,42421776,42431019,40.7850311,-73.9806779,40.7843497,-73.9811702,86.38145556540783
28,42421776,42431024,40.7850311,-73.9806779,40.785659,-73.9802226,79.66628237385355
29,42421778,42421776,40.7855935,-73.9820114,40.7850311,-73.9806779,128.6446925414305
30,42421778,42441587,40.7855935,-73.9820114,40.786184,-73.981448,81.14450796171512
31,42421778,42422592,40.7855935,-73.9820114,40.7849758,-73.9826602,87.79689049831714
32,42421783,42427782,40.8593027,-73.9313326,40.858113,-73.932983,250.45113681191862
33,42421783,1764387321,40.8593027,-73.9313326,40.8589437,-73.9315042,42.453930351898244
34,42421783,1764387326,40.8593027,-73.9313326,40.8596364,-73.9312076,38.567727979055896
35,42421783,1764387328,40.8593027,-73.9313326,40.8591806,-73.9311471,20.709146149921462
36,42421785,42421786,40.858744,-73.930122,40.859012,-73.927625,240.1990665323766
37,42421785,42443520,40.858744,-73.930122,40.859545,-73.927977,201.58222723936927
38,42421786,42421791,40.859012,-73.927625,40.859944,-73.926786,127.6761899804522
39,42421791,4814440062,40.859944,-73.926786,40.8613774,-73.9252169,216.17299867374447
40,42421791,42448930,40.859944,-73.926786,40.860657,-73.9273,90.66215310834795
41,42421800,42424851,40.7839788,-73.9703286,40.7846108,-73.9698592,80.64269265136221
42,42421800,42435308,40.7839788,-73.9703286,40.7833496,-73.9707906,80.0662388127658
43,42421803,42437300,40.7851655,-73.9731396,40.7845351,-73.9735994,80.09288679694687
44,42421803,42421800,40.7851655,-73.9731396,40.7839788,-73.9703286,271.2446455623162
45,42421806,42421803,40.7863627,-73.9759753,40.7851655,-73.9731396,273.6317597291667
46,42421806,42442475,40.7863627,-73.9759753,40.7870013,-73.9755091,81.15181219239855
47,42421809,42428663,40.7870877,-73.9776927,40.7864652,-73.9781723,80.15448303073626
48,42421809,1061531683,40.7870877,-73.9776927,40.7870136,-73.9775173,16.927881587709745
49,42421810,42421809,40.7875673,-73.9788289,40.7870877,-73.9776927,109.63307552343491
