origin,outgoing,incoming,lon,lat
42421728,42421731-2 42432736-0 42435337-1 ,42421731-5 42432736-2327 42435337-3109 ,-73.9600434,40.7980486,40.7980486
42421731,42421728-5 42421737-6 42432737-3 42437916-4 ,42421728-2 42421737-9 42432737-2330 42437916-4059 ,-73.9614743,40.798645,40.798645
42421737,42421731-9 42421741-7 42437917-8 ,42421731-6 42421741-10 42432744-2334 ,-73.962886,40.7992545,40.7992545
42421741,42421737-10 42432756-11 1061531654-12 ,42421737-7 42437918-4064 1061531654-8349 ,-73.9657046,40.8004313,40.8004313
42421745,42421749-15 42428751-13 1061531654-14 ,42421749-18 42428760-962 1061531654-8348 ,-73.9679942,40.8014007,40.8014007
42421749,42421745-18 42421751-16 42431118-17 ,42421745-15 42421751-19 42431118-1918 42431121-1921 ,-73.9685615,40.8016434,40.8016434
42421751,42421749-19 42432764-20 ,42421749-16 42437920-4066 ,-73.970054,40.8022682,40.8022682
42421769,42443347-21 ,42421772-22 42443280-5387 ,-73.9749879,40.7826312,40.7826312
42421772,42421769-22 42442469-23 ,42442463-5053 1061531525-8319 ,-73.9778254,40.783828,40.783828
42421775,42428653-24 1061531525-25 ,42421776-26 42428657-914 ,-73.9795827,40.7845691,40.7845691
42421776,42421775-26 42431019-27 42431024-28 ,42421778-29 42431019-1846 42431024-1850 ,-73.9806779,40.7850311,40.7850311
42421778,42421776-29 42422592-31 42441587-30 ,42422592-137 42441587-4949 ,-73.9820114,40.7855935,40.7855935
42421783,42427782-32 1764387321-33 1764387326-34 1764387328-35 ,1764387321-8536 1764387324-8539 1764387326-8543 ,-73.9313326,40.8593027,40.8593027
42421785,42421786-36 42443520-37 ,42443520-5446 1764387328-8545 ,-73.930122,40.858744,40.858744
42421786,42421791-38 ,42421785-36 42443520-5447 ,-73.927625,40.859012,40.859012
42421791,42448930-40 4814440062-39 ,42421786-38 ,-73.926786,40.859944,40.859944
42421800,42424851-41 42435308-42 ,42421803-44 42424851-240 42435308-3076 ,-73.9703286,40.7839788,40.7839788
42421803,42421800-44 42437300-43 ,42421806-45 42443349-5414 ,-73.9731396,40.7851655,40.7851655
42421806,42421803-45 42442475-46 ,42437305-3879 1061531683-8353 ,-73.9759753,40.7863627,40.7863627
42421809,42428663-47 1061531683-48 ,42421810-49 42428670-920 ,-73.9776927,40.7870877,40.7870877
42421810,42421809-49 42431030-50 42431034-51 ,42421820-52 42431030-1856 42431034-1859 ,-73.9788289,40.7875673,40.7875673
42421820,42421810-52 42437312-53 42441569-54 ,42437312-3881 42441569-4947 ,-73.9810702,40.7885135,40.7885135
42421828,42430938-55 42430942-56 ,42430938-1788 42430942-1792 42446584-6111 ,-73.976212,40.725326,40.725326
42421852,42438928-58 42442584-57 561035342-59 ,42438928-4340 42442584-5107 561035342-7745 ,-73.9568144,40.8126067,40.8126067
42421857,42421865-62 561035342-61 1506591534-60 ,42421865-65 42428858-980 561035342-7743 ,-73.9598159,40.8138385,40.8138385
42421865,42421857-65 42443181-63 1332860731-64 ,42421857-62 42443181-5379 1332860731-8420 ,-73.960687,40.814192,40.814192
42421877,42421889-67 42437949-66 ,42430857-1768 42449045-6477 ,-73.9959038,40.7328593,40.7328593
42421889,42430241-68 42432191-69 ,42421877-67 42430237-1529 ,-73.9991816,40.7341463,40.7341463
42421941,42421960-70 42453902-71 ,42421946-72 42421960-76 42453902-6970 ,-74.008789,40.704211,40.704211
42421946,42421941-72 ,42421951-73 42452630-6811 ,-74.008325,40.703813,40.703813
42421951,42421946-73 42421965-74 42444223-75 ,42444223-5571 370880758-7566 ,-74.0077787,40.7033242,40.7033242
42421960,42421941-76 42421965-79 42427956-77 42431898-78 ,42421941-70 42427956-587 42431898-2125 ,-74.0089636,40.7040838,40.7040838
42421965,3790255302-80 ,42421951-74 42421960-79 370880758-7567 ,-74.0079771,40.7032082,40.7032082
42421969,42435250-81 ,1061531777-8374 4347550065-9211 ,-73.9810292,40.7692746,40.7692746
42421972,42428570-82 1061531777-83 ,42421974-85 42428575-880 ,-73.9822548,40.7697921,40.7697921
42421974,42421972-85 1241742627-84 ,1241742563-8405 ,-73.9838503,40.770478,40.770478
42421982,2974462027-87 4081416473-86 ,42421985-89 1241742743-8410 2974462027-8892 ,-73.9866974,40.7716655,40.7716655
42421985,42421982-89 42430981-91 2061592973-90 3533937800-88 ,42430981-1804 2061592973-8730 3533937800-8997 ,-73.9895487,40.7728658,40.7728658
42421993,42421996-94 42431447-92 42435312-93 ,42431447-1983 42435312-3082 ,-73.9679486,40.7872303,40.7872303
42421996,42422000-95 42438043-96 ,42421993-94 42437050-3799 ,-73.9707647,40.7884217,40.7884217
42422000,42437052-97 1061531768-98 ,42421996-95 42438045-4132 ,-73.9736025,40.7896131,40.7896131
42422006,42422016-99 42428682-100 ,42428689-929 1061531768-8373 ,-73.9751319,40.7902552,40.7902552
42422016,42422018-101 42431044-102 42431057-103 ,42422006-99 42431044-1869 42431057-1872 ,-73.976449,40.7908141,40.7908141
42422018,42437058-104 42438052-105 ,42422016-101 42437058-3803 42438052-4135 ,-73.9786893,40.7917606,40.7917606
42422026,42437401-107 246858433-108 889298452-106 ,42437401-3928 246858433-7476 889298452-8296 ,-74.0158085,40.7115654,40.7115654
42422028,42453395-109 246858433-110 ,42437396-3927 246858433-7475 ,-74.0144344,40.7110326,40.7110326
42422038,42422042-113 42434413-111 42438155-112 ,42422042-115 42434412-2934 ,-74.011674,40.709687,40.709687
42422042,42422038-115 42422050-114 42428374-116 ,42422038-113 42428376-808 ,-74.010542,40.709154,40.709154
42422050,42422053-117 42454795-118 ,42422042-114 42434410-2933 ,-74.009371,40.708614,40.708614
42422053,42448583-119 6262915548-120 ,42422050-117 42434420-2939 ,-74.008269,40.7077219,40.7077219
42422258,42430589-121 ,42434285-2880 246579597-7448 ,-74.0074126,40.7482137,40.7482137
42422270,42422283-123 278608643-122 ,205020852-7441 ,-74.002383,40.7064526,40.7064526
42422283,42433229-127 278609934-124 4158673495-126 5378284711-125 ,42422270-123 42433229-2588 278609934-7550 4158673495-9147 ,-74.001657,40.7094916,40.7094916
42422366,42422545-128 42425188-129 595295501-130 ,42423331-163 42425188-252 595295501-8047 ,-73.983689,40.7854081,40.7854081
42422399,42458435-131 ,42423331-162 595295501-8046 ,-73.9828491,40.7877568,40.7877568
42422509,42457925-132 ,370913758-7583 589100267-7930 ,-73.974153,40.7374587,40.7374587
42422530,42427965-133 ,42451332-6703 589298584-7937 ,-73.9582334,40.759667,40.759667
42422545,42423331-134 ,42422366-128 42423070-149 ,-73.9842284,40.7850896,40.7850896
42422592,42421778-137 42428072-138 42431019-136 595295501-135 ,42421778-31 42428072-700 42431019-1849 595295501-8045 ,-73.9826602,40.7849758,40.7849758
42422899,42449689-140 42454010-139 ,42455915-7169 6176628861-9509 ,-73.9721195,40.7456771,40.7456771
42423020,42434965-142 3904954792-141 6166412783-143 6166412784-144 ,42449932-6603 3904954788-9084 ,-73.9749131,40.7460938,40.7460938
42423039,42450820-145 ,42423549-165 42430973-1801 ,-73.9756975,40.7165061,40.7165061
42423051,42454391-146 370894980-147 ,42457401-7258 370892861-7574 ,-73.9747446,40.7188498,40.7188498
42423070,42422545-149 595295501-148 ,61269797-7396 ,-73.9852813,40.7836063,40.7836063
42423101,42436806-150 42442723-151 42446331-152 ,42436806-3725 42442723-5193 60921163-7328 ,-73.9337066,40.8442431,40.8442431
