road_id,page_rank
2317,0.00061857
1440,0.00013051
8122,0.00040944
3152,0.00305054
8176,0.00052073
1625,0.00126171
4896,0.00056171
2028,0.00028957
6789,0.00020266
7023,0.00040462
6395,0.00002405
5511,0.00044565
1595,0.00026625
5994,0.00031890
1571,0.00027765
1583,0.00023558
2705,0.00030195
3672,0.00063362
8193,0.00060874
3239,0.00031570
7230,0.00027165
4767,0.00046397
4438,0.00023345
2361,0.00059087
3240,0.00142190
4620,0.00048762
173,0.00027898
5997,0.00018469
1616,0.00085401
1601,0.00023384
2355,0.00084843
1185,0.00051254
3175,0.00042321
171,0.00032627
5454,0.00014851
205,0.00038224
8147,0.00017832
9208,0.00011597
3746,0.00012445
3598,0.00150132
4628,0.00041830
9269,0.00033103
9522,0.00029782
6437,0.00027450
7122,0.00006365
772,0.00085032
1320,0.00021475
4635,0.00038419
8127,0.00006713
23,0.00023190
2957,0.00015877
3671,0.00022319
172,0.00077176
3937,0.00037467
6818,0.00026444
2356,0.00022837
5989,0.00059896
5706,0.00093429
9222,0.00190905
1609,0.00028131
5519,0.00000358
1478,0.00059978
6001,0.00019698
8357,0.00024322
3063,0.00068658
1613,0.00061182
6445,0.00030321
2095,0.00001597
197,0.00002476
499,0.00025199
3236,0.00029445
3181,0.00058566
5678,0.00014249
94,0.00012231
4437,0.00015635
6622,0.00036614
3055,0.00025251
1614,0.00035599
1618,0.00046035
3053,0.00039995
2295,0.00014063
5971,0.00025799
6993,0.00047071
3750,0.00015198
7145,0.00083077
8433,0.00008834
5289,0.00048850
4443,0.00016069
3591,0.00024131
3909,0.00047883
2316,0.00023672
9212,0.00008516
7739,0.00002952
4773,0.00048824
2755,0.00027257
1202,0.00103750
1476,0.00021243
6680,0.00017429
4457,0.00122277
6204,0.00052913
4897,0.00031500
8173,0.00047923
3991,0.00179760
3696,0.00001815
5521,0.00000402
1214,0.00030429
1856,0.00031565
5948,0.00013313
8321,0.00040919
8181,0.00005849
3674,0.00036562
2704,0.00021130
2070,0.00108502
5393,0.00009721
3749,0.00021977
4325,0.00050543
8131,0.00024200
5965,0.00056451
6446,0.00040205
1836,0.00029864
1621,0.00077484
6947,0.00006415
2296,0.00035061
5507,0.00021719
763,0.00021899
5898,0.00005032
9238,0.00004358
2068,0.00055171
6519,0.00008363
6841,0.00014185
4458,0.00177991
5685,0.00027278
4836,0.00019926
4779,0.00030582
1545,0.00018601
8207,0.00018365
5245,0.00005000
5505,0.00328576
1599,0.00040253
1415,0.00011183
7859,0.00037844
2702,0.00018099
4390,0.00030384
4646,0.00052162
8137,0.00042198
9277,0.00018542
5274,0.00058563
9283,0.00012029
6372,0.00054403
5541,0.00035553
6195,0.00055104
5683,0.00020373
794,0.00026913
2034,0.00020810
6982,0.00100171
80,0.00001995
8120,0.00199426
770,0.00037516
6612,0.00084335
6443,0.00031726
1597,0.00032045
1603,0.00050290
5768,0.00014696
7171,0.00001609
4500,0.00028627
4323,0.00053273
6164,0.00014975
1612,0.00078147
8128,0.00039584
868,0.00033585
744,0.00025627
4047,0.00036473
6788,0.00019336
9521,0.00001303
1477,0.00024025
4555,0.00031405
6501,0.00022279
8134,0.00013288
2760,0.00004147
5794,0.00217084
5282,0.00043526
1605,0.00032298
5256,0.00011651
1539,0.00051066
4452,0.00049192
8200,0.00011768
9061,0.00113332
2870,0.00031812
5578,0.00023760
2357,0.00026565
1739,0.00001629
4771,0.00001118
7130,0.00000422
4261,0.00002547
5506,0.00028988
6608,0.00045061
3946,0.00049803
6235,0.00068659
3037,0.00001429
1544,0.00035145
1823,0.00019823
6615,0.00033965
5969,0.00026937
5870,0.00017427
612,0.00067042
752,0.00008479
5273,0.00034319
5639,0.00037699
776,0.00061163
3613,0.00019886
6194,0.00242506
