roadId,pickup_count,dropoff_count,lon,lat
0,325,25,-73.95982938,40.798447
1,280,30,-73.96037576,40.79770219
2,120,72,-73.96070207,40.79833768
5,12,8,-73.96052551,40.79830647
6,42,30,-73.96227373,40.79902104
7,281,225,-73.9642542,40.79983109
8,412,36,-73.96314071,40.79896258
9,98,34,-73.96218631,40.79896331
10,4,8,-73.96470833,40.79998207
11,64,141,-73.96550274,40.80069774
12,101,52,-73.96666514,40.8008597
13,409,31,-73.96807238,40.80095467
15,68,7,-73.96832713,40.80152102
16,92,71,-73.96881021,40.80175205
17,1,0,-73.96869659,40.80157852
18,17,0,-73.96808445,40.80141225
19,2,0,-73.96921921,40.80179024
20,1,12,-73.97005463,40.80231094
21,336,206,-73.97530824,40.78229252
22,127,158,-73.97595245,40.78302507
23,268,102,-73.97762296,40.78412695
24,186,115,-73.97987017,40.7842253
25,13,8,-73.97949101,40.78452506
26,108,60,-73.98027152,40.78486619
28,393,279,-73.98042119,40.78540422
29,43,32,-73.98086548,40.785078
30,5,3,-73.98149567,40.7860878
33,3,2,-73.93144989,40.85915375
34,2,3,-73.93136215,40.85950279
41,505,206,-73.97014988,40.78425022
42,31,19,-73.97073487,40.78341589
43,469,271,-73.97340229,40.78489169
44,292,445,-73.97115315,40.78434393
45,158,689,-73.97394571,40.78551082
46,168,122,-73.97575919,40.78669194
47,260,126,-73.97795249,40.78678991
48,22,11,-73.9775994,40.7870421
49,143,70,-73.97834479,40.78735698
51,451,125,-73.97862247,40.78789649
52,94,58,-73.97903093,40.78764976
54,15,14,-73.98106689,40.78894552
55,28,27,-73.97704615,40.72570038
56,7,38,-73.97555324,40.72510747
57,73,21,-73.95662501,40.81301854
58,43,49,-73.95760257,40.81167008
59,29,52,-73.9578005,40.81299183
60,447,65,-73.9601932,40.81337206
62,1,4,-73.96061707,40.81407547
63,24,19,-73.95991007,40.81530269
64,23,60,-73.96149047,40.81316674
65,28,26,-73.96002034,40.81390313
66,560,210,-73.99615827,40.7325726
67,1148,668,-73.99740656,40.73351247
68,1175,197,-73.99897751,40.73443506
69,57,17,-73.99934642,40.73416365
70,34,40,-74.00888421,40.70420288
71,456,412,-74.00784243,40.70491571
72,86,205,-74.00861563,40.70410249
73,27,334,-74.00795718,40.70357641
74,4,26,-74.00787354,40.70328426
75,204,109,-74.00736158,40.70367361
77,5,2,-74.00922699,40.70427475
78,59,234,-74.01091482,40.70314912
79,52,161,-74.00868988,40.70380211
80,17,944,-74.0096835,40.70249625
81,594,177,-73.98080559,40.76964498
82,276,510,-73.98225712,40.76931268
83,33,14,-73.98210861,40.76973274
84,306,376,-73.98416721,40.77010271
85,163,103,-73.98296305,40.77009021
86,356,117,-73.98652576,40.77197391
87,6,13,-73.98639297,40.77157656
88,19,13,-73.99002075,40.77301768
89,245,540,-73.98803807,40.77224541
90,82,58,-73.98995023,40.77241874
91,97,144,-73.98917074,40.77337171
92,416,405,-73.96771855,40.78760659
93,3,4,-73.96816254,40.78691228
94,125,283,-73.96961029,40.78793875
95,247,258,-73.9715338,40.78873759
96,631,123,-73.97100118,40.78817319
97,332,353,-73.97338258,40.78992487
98,138,109,-73.97422398,40.78991542
99,136,72,-73.97548659,40.7904069
100,454,120,-73.97535074,40.78999482
101,87,125,-73.97688872,40.79100159
102,1,1,-73.9768219,40.79034042
103,342,100,-73.9762642,40.79112188
105,2,13,-73.97930145,40.79135895
106,211,190,-74.01584871,40.71167744
107,1139,206,-74.0159573,40.71085801
108,264,2567,-74.01541482,40.71135522
109,346,1685,-74.01388272,40.71268472
111,84,79,-74.01224663,40.71001907
112,147,104,-74.01143267,40.71007359
113,23,26,-74.0109243,40.70929386
114,61,201,-74.01001777,40.70901445
115,98,267,-74.01107562,40.70945584
116,40,104,-74.01068878,40.70899858
117,143,292,-74.00867542,40.70798639
118,31,65,-74.00913337,40.70885812
119,32,40,-74.00818324,40.70785582
120,86,122,-74.00790521,40.7074109
121,51,75,-74.0069776,40.74869792
122,5,4,-74.00032043,40.70748749
123,17,16,-74.00096445,40.70888856
124,4,3,-74.00154877,40.70956898
125,10,7,-74.001577,40.70932808
126,17,15,-74.00204378,40.70966025
127,291,135,-74.00215789,40.70914653
131,2,6,-73.98139572,40.79075241
132,89,25,-73.9736605,40.73814028
133,28,65,-73.95858029,40.75984846
134,1,4,-73.98419952,40.78520966
136,56,86,-73.98154122,40.78453316
137,2,13,-73.98238373,40.78531265
